end,sample,p4,p5,p6,p7,p8,p9,p10
PPP_v1,rep1,0.03488250683648611,0.3488072862030714,2.968896744165762,47.03756627735254,41.528802582503744,7.697508940092365,0.38353566284603985
PPP_v1,rep2,0.059261267966215385,0.4158609252849507,3.3668160457866105,47.16196087529658,40.905769537607085,7.702446213491363,0.3878851345671982
PPP_v1,rep3,0.05150228331454409,0.3801856951733469,2.873737198423547,47.08274932258836,41.68153259924839,7.576353605555588,0.35393929569621463
PPP_v2,rep1,0.04299327421642225,0.33937088644979807,3.1068007709566317,46.24581695442539,42.021600360628966,7.875010825835795,0.36840692748698756
PPP_v2,rep2,0.04905959252593557,0.3911752951880671,3.5097300658753077,46.44953651990972,41.47460858624153,7.752680548181095,0.3732093920783385
PPP_v2,rep3,0.047898896971174186,0.32607905370464146,3.0888423177464586,46.09814891348013,41.90672669774579,8.075124387926943,0.45717973242486293
OH_v1,rep1,0.23398492552018246,2.999743113806883,36.067379582666575,46.04354826400601,12.80027020862177,1.124423941744519,0.7306499636340782
OH_v1,rep2,0.2705803211506078,2.9193579943833234,35.006648423799454,44.76893041566663,14.674889165058023,1.6374448391834846,0.7221488407584821
OH_v1,rep3,0.2936884470620847,3.33949215303645,38.64512609807753,45.324790247457464,12.255599380495747,-0.3187118015966675,0.46001547546739885
OH_v2,rep1,0.269189169693402,2.958713986457377,36.665210279986866,42.606558555040806,14.940232533210796,1.895128490550682,0.6649669850600656
OH_v2,rep2,0.23306210700909105,2.8285434842479087,35.531726757483234,42.14913407345571,16.767094189251292,1.8222632703743395,0.6681761181784112
OH_v2,rep3,0.27970560725932186,3.129564343557509,39.477499407911765,41.50723544774743,13.13012340761433,1.615562338785641,0.860309447123983
PPP,rep1,0.038937902041886185,0.34408907292890833,3.0378489533533295,46.64169049178627,41.77520217122633,7.786260134976103,0.37597127368717453
PPP,rep2,0.05416042002875458,0.4035180855130205,3.438273198964154,46.80574798408621,41.19018963163573,7.727563431147603,0.38054724862451883
PPP,rep3,0.04970057933711759,0.3531322121854005,2.981290403136657,46.59044616544006,41.794130323803316,7.825740492442154,0.4055598236552837
OH,rep1,0.25158726458247416,2.9792282972557196,36.36629861595982,44.32503222619158,13.87026456022898,1.5097809662608033,0.6978080695206254
OH,rep2,0.25182107590002545,2.873950404845191,35.26918952450822,43.45902259583439,15.720999382759217,1.729854735466383,0.6951622806865622
OH,rep3,0.28669686457543453,3.2345258073643937,39.06132243140335,43.4159684590389,12.692871562570593,0.6484477593392457,0.6601671157080915
