end,sample,p4,p5,p6,p7,p8,p9,p10
OH,mean,0.263368401685978,3.0292348364884347,36.898936857290465,43.733341093688296,14.094711835186262,1.2960278203554774,0.6843791553050931
OH,rep1,0.2515872645824741,2.97922829725572,36.36629861595982,44.32503222619158,13.87026456022898,1.5097809662608033,0.6978080695206254
OH,rep2,0.2518210759000254,2.873950404845191,35.26918952450822,43.45902259583439,15.720999382759215,1.729854735466383,0.6951622806865622
OH,rep3,0.2866968645754345,3.2345258073643937,39.06132243140335,43.4159684590389,12.692871562570591,0.6484477593392457,0.6601671157080915
OH,std,0.020203379730174234,0.18541614196179376,1.951370189888395,0.5128715354609485,1.5264900780145574,0.5715138384522525,0.02100993088336299
PPP,mean,0.047599633802586035,0.36691312354244304,3.152470851818047,46.67929488043751,41.58650737555513,7.77985468618862,0.387359448655659
PPP,rep1,0.0389379020418861,0.3440890729289083,3.037848953353329,46.64169049178627,41.77520217122633,7.786260134976103,0.3759712736871745
PPP,rep2,0.0541604200287545,0.4035180855130205,3.438273198964154,46.80574798408621,41.19018963163573,7.727563431147603,0.3805472486245188
PPP,rep3,0.0497005793371175,0.3531322121854005,2.981290403136657,46.59044616544006,41.79413032380332,7.825740492442154,0.4055598236552837
PPP,std,0.00782571035558011,0.03202166489353171,0.24912236677247798,0.11246904379632604,0.3433516919268274,0.04940097338854087,0.015927181930650007
mixture,mean,0.3182216004822868,2.5718459450439,37.441154825031816,42.513111004808046,14.797994139543343,1.9488964304256655,0.4087760546649364
mixture,rep1,0.27785276087268346,2.453138505411048,37.18524141337199,42.677835784531396,15.016151792185362,1.977626753138015,0.4121529904895204
mixture,rep2,0.3133812934847158,2.655502445418205,35.62731814483192,42.48427234361572,16.213135506464187,2.2720711382643826,0.43431912792087374
mixture,rep3,0.3634307470894611,2.6068968843024467,39.510904916891555,42.377224886277034,13.164695119980486,1.5969913998745988,0.37985604558441505
mixture,std,0.042993829325878814,0.10563719662592706,1.9544002429721703,0.15236626700765526,1.5358846859516933,0.33845566456845055,0.027388128926041824
